## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
CEP295	0	-5	5551	4345	0	0
TANC1	0	-6	5551	1373	0	0
SSH2	0	-6	5551	1373	6	-2	2743	591
SELENOI	0	-6	5551	1373	0	0
GFM1	0	-9	5551	-2934	0	-1	11634	3647
SCIN	0	-6	5551	1373	4	-1	3686	525
CCDC65	0	-5	5551	4345	0	0
GTPBP10	0	-8	5551	-2059	0	0
PNPT1	0	-10	5551	-3502	0	0
ANKRD13A	0	-7	5551	-754	0	0
RRP36	0	-6	5551	1373	0	0
TRIM4	0	-6	5551	1373	0	0
SIGLEC10	0	-7	5551	-754	4	-1	3689	526
NAV2	0	-6	5551	1373	2	-2	5830	2124
ABCC10	0	-7	5551	-754	0	-1	11658	3655
SEC16B	0	-5	5551	4345	4	2	3696	-2144
SLC25A21	0	-6	5551	1373	0	-3	11742	7175
RHOT2	0	-7	5551	-754	3	1	4526	-1320
KLC4	0	-9	5551	-2934	0	0	11047	-48
RSPRY1	0	-6	5551	1373	0	0
DPH6	0	-5	5551	4345	0	0
UBE3D	0	-6	5551	1373	0	0
LACRT	0	-5	5551	4345	3	-2	3798	995
PHLDB2	0	-8	5551	-2059	0	0	11059	-50
KCNH7	0	-5	5551	4345	1	1	7661	-3433
FRMD7	0	-7	5551	-754	1	0	7668	-26
SNX21	0	-6	5551	1373	0	0	11056	-50
KIAA2013	0	-6	5551	1373	0	0
OTULIN	0	-11	5551	-3931	0	-2	11042	5361
KLHL13	0	-6	5551	1373	0	0
ZNF616	0	-6	5551	1373	0	0
ZNF766	0	-7	5551	-754	0	0
CCDC97	0	-6	5551	1373	0	0
SAMD1	0	-7	5551	-754	0	0
DCAF15	0	-5	5551	4345	2	-1	5797	1254
TICRR	0	-6	5551	1373	0	0
TMEM41A	0	-6	5551	1373	0	0
IFT20	0	-7	5551	-754	1	1	7900	-3680
KNSTRN	0	-6	5551	1373	0	0
ZNF622	0	-8	5551	-2059	0	0
ERI1	0	-6	5551	1373	0	0
GADD45GIP1	0	-8	5551	-2059	0	0	11555	-57
TMEM263	0	-8	5551	-2059	0	0
SCRN2	0	-6	5551	1373	0	0
SHF	0	-5	5551	4345	0	0	11542	-56
MCU	0	-6	5551	1373	0	0
TIMM29	0	-7	5551	-754	0	0
LYRM7	0	-5	5551	4345	0	-1	11396	3532
LINC00473	0	-7	5551	-754	0	0
COX19	0	-6	5551	1373	0	0
TBL1Y	0	-6	5551	1373	0	0
SEC11C	0	-6	5551	1373	0	0
ANGEL2	0	-5	5551	4345	0	0
PIP4P1	0	-6	5551	1373	0	0
PRMT9	0	-6	5551	1373	0	0
ZNF598	0	-11	5551	-3931	0	-1	11648	3652
DHX57	0	-13	5551	-4484	0	-1	11666	3660
ZNF251	0	-6	5551	1373	0	0
CREB3L1	0	-9	5551	-2934	3	1	4515	-1309
FMNL3	0	-6	5551	1373	1	1	7965	-3734
DPP9	0	-7	5551	-754	2	-1	5832	1274
TRIM47	0	-7	5551	-754	0	0
ZNF682	0	-6	5551	1373	0	0
SCARF2	0	-5	5551	4345	0	0
LMF2	0	-7	5551	-754	0	0
R3HDM4	0	-6	5551	1373	0	0
TMEM259	0	-8	5551	-2059	0	0
GUSBP11	0	-4	5551	11922	0	0
CDKN2AIPNL	0	-5	5551	4345	0	0
ANKRD40	0	-6	5551	1373	0	0
LIF-AS2	0	-6	5551	1373	0	0
UAP1L1	0	-6	5551	1373	0	0
SESTD1	0	-7	5551	-754	0	0	11667	-42
BTF3L4	0	-6	5551	1373	0	0
ATP23	0	-7	5551	-754	0	0
RCCD1	0	-5	5551	4345	0	0
RNF185	0	-7	5551	-754	0	0
ACBD5	0	-6	5551	1373	0	0
ANKRD44	0	-6	5551	1373	0	0
MTRFR	0	-6	5551	1373	0	0
PLXNA4	0	-6	5551	1373	2	0	5732	-2
ZNF830	0	-7	5551	-754	1	1	7759	-3559
SLFN11	0	-7	5551	-754	0	-1	11280	3476
DEPDC7	0	-5	5551	4345	1	1	7765	-3558
NEXN	0	-7	5551	-754	0	0
ATPAF2	0	-6	5551	1373	0	0	11275	-50
MYADM	0	-7	5551	-754	1	-1	7771	2032
ZNF845	0	-7	5551	-754	0	0
MIDEAS	0	-9	5551	-2934	0	0
ZNF804A	0	-9	5551	-2934	7	1	2410	-311
NEK9	0	-9	5551	-2934	1	0	7766	-34
CHMP7	0	-8	5551	-2059	0	0
ALKBH8	0	-6	5551	1373	0	0
WDR20	0	-6	5551	1373	0	0
RFT1	0	-6	5551	1373	1	0	7756	-31
TTC5	0	-8	5551	-2059	0	0
COG7	0	-7	5551	-754	2	2	5709	-5534
CTBP1-DT	0	-7	5551	-754	0	0
ZC3HAV1L	0	-6	5551	1373	0	0
INTS4	0	-6	5551	1373	0	0
DSEL	0	-6	5551	1373	0	0
MTSS2	0	-5	5551	4345	0	0
MTG1	0	-7	5551	-754	1	0	7720	-30
CDHR1	0	-7	5551	-754	0	0
RCSD1	0	-5	5551	4345	0	0
MRPS36	0	-6	5551	1373	0	0
ZNF461	0	-6	5551	1373	0	0
TMEM129	0	-7	5551	-754	0	0
METTL18	0	-7	5551	-754	0	0
MRRF	0	-8	5551	-2059	5	-4	2791	954
CHMP4C	0	-6	5551	1373	0	0	11049	-48
SPECC1	0	-6	5551	1373	1	0	8055	-69
TIMM50	0	-14	5551	-4700	0	0	11988	-28
MGME1	0	-9	5551	-2934	1	1	8074	-3947
DTD1	0	-8	5551	-2059	0	0
FAM114A1	0	-7	5551	-754	1	-1	8089	2205
ARRDC1	0	-5	5551	4345	0	0
SHKBP1	0	-7	5551	-754	0	0
H2AC25	0	-7	5551	-754	0	0
REEP6	0	-8	5551	-2059	0	0
IMP4	0	-7	5551	-754	1	0	8087	-71
HNRNPLL	0	-8	5551	-2059	0	-6	12006	9268
MARS2	0	-6	5551	1373	0	0
MARCHF9	0	-7	5551	-754	0	0
PKHD1L1	0	-5	5551	4345	0	0
NEURL3	0	-6	5551	1373	1	1	8079	-3951
RPS10P5	0	-7	5551	-754	0	0
LEMD1	0	-6	5551	1373	0	0
HAUS8	0	-8	5551	-2059	0	0
MVB12A	0	-5	5551	4345	0	0
MMGT1	0	-7	5551	-754	0	0
SYCE1	0	-7	5551	-754	0	-1	11977	3836
ARMC6	0	-7	5551	-754	0	-1	11967	3831
MAPK1IP1L	0	-6	5551	1373	0	-3	11980	7398
TRMT10A	0	-7	5551	-754	0	0	12005	-26
MRFAP1	0	-6	5551	1373	0	0	11970	-27
TADA2B	0	-9	5551	-2934	0	0
TJAP1	0	-5	5551	4345	1	-1	8080	2200
MYOCD	0	-4	5551	11922	4	3	3706	-4441
ACP4	0	-5	5551	4345	0	0
ST7-AS1	0	-4	5551	11922	0	0
CGB5	0	-6	5551	1373	0	0	11987	-28
ARHGAP18	0	-7	5551	-754	0	0	11973	-26
CADPS2	0	-6	5551	1373	1	1	8084	-3952
CLEC6A	0	-6	5551	1373	1	-4	7953	4791
PIGS	0	-7	5551	-754	0	-2	11625	5813
LRRC4B	0	-6	5551	1373	0	0
HTRA3	0	-6	5551	1373	0	0
SYAP1	0	-8	5551	-2059	0	-1	11641	3650
LENG9	0	-6	5551	1373	0	0	8436	-81
SFXN1	0	-13	5551	-4484	3	3	4513	-7161
ORMDL1	0	-6	5551	1373	0	0	11636	-41
ORMDL3	0	-8	5551	-2059	1	-8	7952	5981
PAXBP1	0	-9	5551	-2934	0	-1	11632	3646
SYTL4	0	-7	5551	-754	1	1	7957	-3724
ARHGAP12	0	-7	5551	-754	0	0
OPN4	0	-5	5551	4345	61	0	296	-5
H2AZ2	0	-12	5551	-4249	2	1	5828	-2183
EPSTI1	0	-7	5551	-754	1	0	7959	-36
TP53INP1	0	-8	5551	-2059	6	6	2744	-8977
CEP41	0	-6	5551	1373	0	0
LIMS3	0	-6	5551	1373	0	0
TGS1	0	-9	5551	-2934	1	1	7974	-3752
MYL12B	0	-11	5551	-3931	0	0	11657	-43
DTD2	0	-5	5551	4345	0	0
GTF3C6	0	-5	5551	4345	0	0
SNX18	0	-7	5551	-754	0	0	11655	-41
CYTOR	0	-12	5551	-4249	3	2	4517	-3492
TUBA3E	0	-6	5551	1373	0	0
FDX2	0	-8	5551	-2059	2	-1	4636	859
TP53RK	0	-7	5551	-754	0	-2	11946	6074
SGF29	0	-6	5551	1373	0	0
VPS26B	0	-6	5551	1373	0	0	11955	-30
CFAP36	0	-6	5551	1373	0	0	11929	-32
MED8	0	-6	5551	1373	1	0	8064	-70
KTI12	0	-5	5551	4345	0	0
PLCD3	0	-7	5551	-754	1	1	8062	-3914
CDCA5	0	-8	5551	-2059	0	-1	11935	3808
AHNAK2	0	-8	5551	-2059	0	0	11951	-30
SAAL1	0	-6	5551	1373	0	0	11932	-32
CHST14	0	-6	5551	1373	1	0	8060	-68
GOLM2	0	-6	5551	1373	0	0
KIF12	0	-5	5551	4345	0	0
MISP3	0	-6	5551	1373	0	0
SLC46A1	0	-6	5551	1373	5	5	2799	-5725
MFSD3	0	-5	5551	4345	0	0
SDSL	0	-6	5551	1373	0	0
ZNF257	0	-6	5551	1373	0	-1	12014	3857
MCM3AP-AS1	0	-9	5551	-2934	0	0
BUD23	0	-8	5551	-2059	0	-1	12008	3855
SLC2A13	0	-6	5551	1373	2	2	5892	-6108
MBD6	0	-6	5551	1373	0	0
GPRIN1	0	-5	5551	4345	0	0
SLC25A25	0	-6	5551	1373	0	0
STK11IP	0	-6	5551	1373	1	1	8119	-3998
FMNL2	0	-12	5551	-4249	0	0	12114	-24
RNF157	0	-4	5551	11922	0	-1	12111	3911
SCAND3	0	-5	5551	4345	0	0
LENG8	0	-7	5551	-754	0	0
PWWP2A	0	-8	5551	-2059	0	-3	12116	7522
OSBPL1A	0	-6	5551	1373	0	0	12086	-25
OSBPL6	0	-6	5551	1373	0	0
OSBPL8	0	-8	5551	-2059	3	3	4554	-7544
OSBPL9	0	-10	5551	-3502	0	-2	12066	6173
OSBPL11	0	-8	5551	-2059	0	0	12249	-11
C1QTNF6	0	-7	5551	-754	0	0
FBXO32	0	-6	5551	1373	10	4	1761	-982
PTPMT1	0	-7	5551	-754	0	-2	12245	6334
FLYWCH2	0	-5	5551	4345	0	0
VASN	0	-7	5551	-754	0	0
NT5C3B	0	-6	5551	1373	0	0
CCDC124	0	-8	5551	-2059	1	1	8153	-4055
KCTD12	0	-7	5551	-754	3	2	4559	-3697
DDIT4L	0	-7	5551	-754	3	1	4572	-1367
FBXO17	0	-5	5551	4345	0	0
PCMTD1	0	-5	5551	4345	0	0	12399	-3
GPR146	0	-6	5551	1373	2	-1	5953	1343
UHRF2	0	-8	5551	-2059	0	-2	12402	6470
ZNF689	0	-5	5551	4345	0	0
FCHO2	0	-7	5551	-754	0	0	12417	-3
ZNF501	0	-6	5551	1373	0	0
TNFRSF13C	0	-5	5551	4345	1	-8	6067	4225
KIR3DL3	0	-5	5551	4345	0	-1	11819	3735
NOSTRIN	0	-8	5551	-2059	0	0
ALPK2	0	-6	5551	1373	0	0
TRMT61A	0	-11	5551	-3931	0	0
DIS3L	0	-6	5551	1373	0	0	11814	-43
ARL11	0	-5	5551	4345	1	1	8032	-3841
DHRS1	0	-6	5551	1373	1	0	8037	-56
LYSMD3	0	-5	5551	4345	1	0	8029	-54
DNTTIP1	0	-9	5551	-2934	0	0
FOXP4	0	-11	5551	-3931	2	-5	5866	3475
DNAAF10	0	-7	5551	-754	0	0
NUS1	0	-6	5551	1373	0	0
TM4SF19	0	-6	5551	1373	0	0
ZMYND19	0	-5	5551	4345	0	0
COX20	0	-7	5551	-754	1	-1	8072	2196
TLCD1	0	-5	5551	4345	0	0
RBP7	0	-5	5551	4345	0	-1	12011	3855
IL22RA2	0	-7	5551	-754	2	0	4648	-37
TM4SF18	0	-6	5551	1373	0	0
TOP1MT	0	-7	5551	-754	0	0
NIBAN1	0	-7	5551	-754	0	-2	11990	6113
MRGPRF	0	-6	5551	1373	1	0	8075	-75
MRPL53	0	-7	5551	-754	0	0
MRPL54	0	-6	5551	1373	0	0
SNAP47	0	-6	5551	1373	0	0	11983	-27
LEAP2	0	-7	5551	-754	0	0
ARAP2	0	-8	5551	-2059	0	0	12003	-25
ARAP1	0	-9	5551	-2934	0	0	11976	-29
AGAP1	0	-8	5551	-2059	3	2	4557	-3664
AGAP3	0	-11	5551	-3931	0	0	12129	-25
CATSPER2	0	-7	5551	-754	1	0	8147	-81
DCD	0	-16	5551	-4984	11	-6	1524	459
RAB3IP	0	-7	5551	-754	0	-1	12162	3937
SSX2IP	0	-7	5551	-754	1	0	8138	-77
FTSJ3	0	-14	5551	-4700	1	0	8131	-75
TAGAP	0	-5	5551	4345	0	-1	12157	3935
PARD3B	0	-6	5551	1373	0	0	11836	-47
UBE2J2	0	-7	5551	-754	0	0
EXOSC6	0	-14	5551	-4700	0	-1	11834	3744
ZNF511	0	-6	5551	1373	0	0
CHCHD1	0	-7	5551	-754	0	0
PSTK	0	-5	5551	4345	0	0
PIK3AP1	0	-6	5551	1373	0	-3	11850	7274
ZFYVE27	0	-6	5551	1373	0	0	11807	-43
MMP21	0	-6	5551	1373	0	0	11821	-47
COMTD1	0	-6	5551	1373	0	0
FRA10AC1	0	-6	5551	1373	0	0	11843	-47
SFXN2	0	-7	5551	-754	0	0
PDZD8	0	-7	5551	-754	0	0
SFXN4	0	-6	5551	1373	0	0
FAT3	0	-5	5551	4345	3	2	4451	-3236
TRIM64	0	-7	5551	-754	0	0
TMEM45B	0	-6	5551	1373	0	0
POU2AF3	0	-6	5551	1373	0	0
JAML	0	-5	5551	4345	0	-1	11045	3356
DNAJC24	0	-6	5551	1373	0	0
NOPCHAP1	0	-6	5551	1373	0	0
H4C16	0	-5	5551	4345	0	0
ALKBH2	0	-7	5551	-754	0	0
CSNK1A1L	0	-6	5551	1373	0	0
ADSS1	0	-6	5551	1373	0	-2	11627	5811
MRPL52	0	-6	5551	1373	0	0
FRMD6	0	-5	5551	4345	2	2	5815	-5864
SOCS4	0	-6	5551	1373	0	0	11618	-45
NAA30	0	-6	5551	1373	0	0
ISCA2	0	-8	5551	-2059	0	0
LEO1	0	-8	5551	-2059	0	0	11631	-42
C15orf40	0	-6	5551	1373	0	0
SENP8	0	-5	5551	4345	1	1	7950	-3719
MTFMT	0	-7	5551	-754	0	0	11630	-42
TARS3	0	-6	5551	1373	0	0
TMEM266	0	-6	5551	1373	0	0
PLA2G4E	0	-5	5551	4345	0	-1	11649	3652
NTAN1	0	-5	5551	4345	0	0
DCUN1D3	0	-5	5551	4345	0	0
SPATA2L	0	-7	5551	-754	0	0
ZG16B	0	-6	5551	1373	2	2	5825	-5882
PAQR4	0	-7	5551	-754	0	0
ZC3H18	0	-11	5551	-3931	0	0
EARS2	0	-8	5551	-2059	0	0
SNX20	0	-5	5551	4345	0	0
HSF5	0	-6	5551	1373	1	1	7971	-3745
SLC38A10	0	-6	5551	1373	0	0	12041	-31
OVCA2	0	-6	5551	1373	0	0
HEXIM2	0	-7	5551	-754	0	0	12049	-29
LSM12	0	-11	5551	-3931	0	0
CCDC43	0	-6	5551	1373	0	0
SPNS2	0	-6	5551	1373	0	-1	12139	3927
MRPL10	0	-6	5551	1373	0	0	12136	-23
WDR81	0	-5	5551	4345	0	0
ZSWIM7	0	-6	5551	1373	0	0
INO80C	0	-6	5551	1373	0	-1	12163	3937
TTC39C	0	-6	5551	1373	2	2	5916	-6244
ZNF543	0	-6	5551	1373	0	0
RAVER1	0	-13	5551	-4484	0	0	12146	-22
MICOS13	0	-6	5551	1373	0	0	12160	-18
TRAPPC5	0	-7	5551	-754	0	0
ZNF813	0	-7	5551	-754	0	0
ALDH16A1	0	-8	5551	-2059	0	0	12103	-24
NLRP5	0	-7	5551	-754	1	0	8113	-70
ZNF787	0	-6	5551	1373	0	0
TMIGD2	0	-5	5551	4345	1	1	8122	-4000
IRGQ	0	-7	5551	-754	0	0
ZNF428	0	-6	5551	1373	0	0
MOB3A	0	-5	5551	4345	0	0	12092	-26
NDUFA11	0	-5	5551	4345	0	-1	12075	3891
LRRC25	0	-6	5551	1373	0	0	12108	-23
WTIP	0	-6	5551	1373	0	0
C19orf47	0	-6	5551	1373	0	0
C2CD4C	0	-5	5551	4345	0	0
TCHHL1	0	-5	5551	4345	0	0
KDF1	0	-5	5551	4345	0	0
B3GALT6	0	-7	5551	-754	0	0
IFFO2	0	-5	5551	4345	0	0
H3C14	0	-6	5551	1373	1	0	7662	-28
LYPLAL1	0	-8	5551	-2059	0	0	11044	-47
TYW3	0	-6	5551	1373	0	0
ERICH3	0	-7	5551	-754	2	2	5673	-5442
PRXL2B	0	-5	5551	4345	0	0	11031	-45
TCEANC2	0	-6	5551	1373	0	0
C1orf122	0	-6	5551	1373	0	0	11567	-52
OSCP1	0	-5	5551	4345	0	0
UBXN10	0	-6	5551	1373	0	0
ARL8A	0	-6	5551	1373	0	0	11554	-57
C1orf131	0	-8	5551	-2059	0	0	11541	-56
EDARADD	0	-6	5551	1373	0	-1	11565	3613
IQGAP3	0	-10	5551	-3502	0	0
NAXE	0	-7	5551	-754	1	1	7911	-3698
MRPL55	0	-7	5551	-754	0	-1	11553	3609
H2BC26	0	-9	5551	-2934	0	0
DRAM2	0	-6	5551	1373	0	0
PROKR2	0	-5	5551	4345	8	5	2168	-2371
CHMP4B	0	-10	5551	-3502	1	0	7849	-26
PIGU	0	-7	5551	-754	1	1	7858	-3638
ANKRD54	0	-5	5551	4345	0	0
NUP35	0	-7	5551	-754	0	0	11421	-57
XIRP2	0	-8	5551	-2059	2	2	5766	-5682
TYW5	0	-5	5551	4345	0	0
MITD1	0	-5	5551	4345	0	0
DIS3L2	0	-6	5551	1373	0	-1	11432	3551
TAF8	0	-6	5551	1373	0	0	11390	-62
ACMSD	0	-5	5551	4345	0	0
CLHC1	0	-6	5551	1373	0	0
C2orf76	0	-5	5551	4345	0	0
ACVR1C	0	-5	5551	4345	2	-5	4813	2577
OSR1	0	-7	5551	-754	6	3	2753	-1836
UBR3	0	-7	5551	-754	0	0
GALM	0	-6	5551	1373	3	-5	3809	1802
FBXO36	0	-5	5551	4345	0	0
MTERF4	0	-6	5551	1373	0	0
MIX23	0	-7	5551	-754	0	0
OTOL1	0	-5	5551	4345	0	0
TRIM71	0	-8	5551	-2059	0	0
CHCHD4	0	-5	5551	4345	0	0
DCBLD2	0	-8	5551	-2059	2	2	5907	-6173
NUDT16	0	-6	5551	1373	0	0
METTL6	0	-5	5551	4345	0	0
TAMM41	0	-7	5551	-754	0	0
OCIAD2	0	-8	5551	-2059	0	0
PABPC4L	0	-6	5551	1373	1	1	7985	-3755
LIN54	0	-8	5551	-2059	0	0
GNPDA2	0	-6	5551	1373	0	0	11698	-38
CPEB2	0	-5	5551	4345	0	0
OTOP1	0	-5	5551	4345	0	0
SLC9B2	0	-4	5551	11922	0	0	11693	-39
PRRC1	0	-7	5551	-754	0	0
NADK2	0	-10	5551	-3502	0	0
JMY	0	-6	5551	1373	0	0	8378	-97
CFAP90	0	-5	5551	4345	0	0
CMBL	0	-10	5551	-3502	0	0
POU5F2	0	-5	5551	4345	0	0
DNAJC21	0	-8	5551	-2059	0	0
GRPEL2	0	-5	5551	4345	0	0
STARD4	0	-5	5551	4345	2	2	5884	-6051
WDR36	0	-11	5551	-3931	0	0	11861	-47
NUDCD2	0	-6	5551	1373	0	0	11885	-44
UBLCP1	0	-7	5551	-754	0	0
ACOT12	0	-7	5551	-754	1	0	8046	-55
C5orf24	0	-9	5551	-2934	0	0
NCOA7	0	-6	5551	1373	0	-1	11872	3768
CD109	0	-5	5551	4345	9	-7	1953	778
PM20D2	0	-5	5551	4345	0	0
TRIM50	0	-8	5551	-2059	1	1	6055	-2483
MTPN	0	-7	5551	-754	0	0	11870	-46
MPLKIP	0	-7	5551	-754	0	0	11835	-46
ASZ1	0	-7	5551	-754	2	0	5944	25
ZNF572	0	-7	5551	-754	0	0
VPS37A	0	-5	5551	4345	0	0	12383	-4
UBXN2B	0	-5	5551	4345	0	0
GPAT4	0	-6	5551	1373	2	0	5947	23
CARNMT1	0	-5	5551	4345	0	0
C9orf85	0	-5	5551	4345	0	0	12356	-5
LCN8	0	-5	5551	4345	0	0
PTRH1	0	-8	5551	-2059	0	0
TAF1L	0	-6	5551	1373	0	0
RPP25L	0	-7	5551	-754	0	0
MAGEC3	0	-5	5551	4345	0	0
AMER1	0	-7	5551	-754	0	-1	12186	3950
APOOL	0	-6	5551	1373	0	0
OTUD6A	0	-7	5551	-754	0	0
FOXR2	0	-5	5551	4345	0	0
RBMXL3	0	-5	5551	4345	0	0
SPIN4	0	-6	5551	1373	0	0
RPS4Y2	0	-6	5551	1373	0	0	8361	-102
MYL6B	0	-9	5551	-2934	0	-1	12060	3878
APOBEC3D	0	-6	5551	1373	0	0	12061	-29
NOL4L	0	-6	5551	1373	0	0
BRI3BP	0	-5	5551	4345	0	0
SOGA1	0	-8	5551	-2059	0	-1	12043	3867
MACROD2	0	-7	5551	-754	0	0
DYNLL2	0	-6	5551	1373	0	0	12048	-29
UBE2F	0	-7	5551	-754	0	0	12046	-28
SMCR8	0	-5	5551	4345	0	0
RPL10L	0	-6	5551	1373	0	0	12441	1
TRPM6	0	-6	5551	1373	10	5	1725	-1290
KRT72	0	-6	5551	1373	0	0	12637	2
LINC00261	0	-7	5551	-754	0	0
NANP	0	-5	5551	4345	0	0
SREK1	0	-9	5551	-2934	0	0	12377	-6
DUSP19	0	-4	5551	11922	0	0	12342	-2
ASB12	0	-7	5551	-754	0	0
TRUB1	0	-13	5551	-4484	0	0
MPP7	0	-7	5551	-754	0	0
VTI1A	0	-6	5551	1373	2	2	5948	-6426
SYT9	0	-6	5551	1373	0	-1	12578	4209
XRRA1	0	-5	5551	4345	0	0
FREY1	0	-6	5551	1373	0	0
FAM76B	0	-7	5551	-754	0	0	12593	6
ARHGAP42	0	-6	5551	1373	0	0
CWF19L2	0	-6	5551	1373	0	0
POGLUT3	0	-7	5551	-754	0	0
ST13P5	0	-7	5551	-754	0	0
SPTY2D1	0	-9	5551	-2934	0	0
SLC2A14	0	-8	5551	-2059	0	-2	12570	6614
ZNF664	0	-6	5551	1373	0	0	11530	-56
CPNE8	0	-8	5551	-2059	1	0	7913	-29
TMEM120B	0	-6	5551	1373	0	0
KRT80	0	-9	5551	-2934	0	-1	11547	3607
LACC1	0	-6	5551	1373	1	1	7824	-3602
HNRNPA1L2	0	-6	5551	1373	0	0
ST13P4	0	-6	5551	1373	0	0
B3GLCT	0	-5	5551	4345	1	1	7823	-3601
LINC00239	0	-6	5551	1373	0	0
PPP1R13B-DT	0	-5	5551	4345	0	0	11383	-57
PTGR2	0	-6	5551	1373	0	0
MDP1	0	-5	5551	4345	0	0
TTC7B	0	-6	5551	1373	0	0
LRFN5	0	-5	5551	4345	0	0
LYSMD4	0	-5	5551	4345	0	0
FAM81A	0	-6	5551	1373	0	0
DRAIC	0	-6	5551	1373	0	0
NRG4	0	-6	5551	1373	4	-9	3663	2224
LINC00052	0	-6	5551	1373	0	0
CDAN1	0	-6	5551	1373	1	1	7839	-3604
CMTM4	0	-12	5551	-4249	0	0
BEAN1	0	-5	5551	4345	0	0
RNF151	0	-4	5551	11922	0	0
FBXL16	0	-5	5551	4345	0	0
BICDL2	0	-6	5551	1373	0	0
TEPSIN	0	-7	5551	-754	0	0
RBFOX3	0	-6	5551	1373	56	-5	327	27
SLC47A2	0	-6	5551	1373	3	2	4498	-3376
SLFN13	0	-5	5551	4345	6	5	2735	-5137
KIF18B	0	-9	5551	-2934	0	0
DHRS13	0	-6	5551	1373	0	0
NOTUM	0	-6	5551	1373	1	-3	7946	4242
TMC8	0	-7	5551	-754	1	0	7956	-37
TRIM16L	0	-6	5551	1373	0	0
WIPF2	0	-5	5551	4345	0	0	11623	-44
KRT25	0	-5	5551	4345	0	0	11619	-45
ARK2N	0	-7	5551	-754	0	0
LINC00526	0	-6	5551	1373	0	0
SPACA6	0	-6	5551	1373	0	0
C19orf18	0	-7	5551	-754	0	-2	11640	5820
HIPK4	0	-4	5551	11922	0	0
SPC24	0	-5	5551	4345	4	4	3687	-7997
FAM98C	0	-5	5551	4345	0	0
DPY19L3	0	-6	5551	1373	0	0
ZNF714	0	-6	5551	1373	0	0
C19orf25	0	-6	5551	1373	0	-1	11906	3787
ATP8B3	0	-7	5551	-754	0	-1	11904	3787
ZNF569	0	-6	5551	1373	0	0
ZNF570	0	-7	5551	-754	0	0
C1orf74	0	-5	5551	4345	0	0	11887	-43
BROX	0	-6	5551	1373	0	0
SAMD11	0	-5	5551	4345	0	0	11900	-40
MRPL20-AS1	0	-5	5551	4345	0	0
C1orf52	0	-6	5551	1373	0	0
PHF13	0	-4	5551	11922	0	0
ANKRD35	0	-6	5551	1373	0	-3	8419	4653
OVAAL	0	-5	5551	4345	0	0
PM20D1	0	-5	5551	4345	1	1	8027	-3834
SLC30A7	0	-7	5551	-754	2	2	5870	-6005
DCDC2B	0	-5	5551	4345	0	0
ZNF362	0	-7	5551	-754	0	0
DCST1	0	-7	5551	-754	0	0
EXOC8	0	-6	5551	1373	1	1	8040	-3854
RNF187	0	-7	5551	-754	0	0
LSM14B	0	-9	5551	-2934	0	0
CCDC117	0	-5	5551	4345	0	0
DUSP18	0	-7	5551	-754	1	1	8137	-4029
C22orf42	0	-7	5551	-754	0	0
PHETA2	0	-6	5551	1373	0	0
NFAM1	0	-6	5551	1373	0	-1	8487	2393
PRR34-AS1	0	-5	5551	4345	0	0
TTL	0	-6	5551	1373	0	0
CKAP2L	0	-8	5551	-2059	0	-2	12170	6262
ZNG1B	0	-8	5551	-2059	0	0
TEKT4	0	-7	5551	-754	0	0
COMMD1	0	-5	5551	4345	0	0	12122	-23
FBXO41	0	-5	5551	4345	0	0
IFT70B	0	-5	5551	4345	0	0
PUS10	0	-5	5551	4345	0	0
CCNYL1	0	-5	5551	4345	0	0
C2CD6	0	-6	5551	1373	0	0
GPBAR1	0	-8	5551	-2059	21	5	910	-267
FAHD2B	0	-6	5551	1373	0	0
ASPRV1	0	-7	5551	-754	0	0
WDSUB1	0	-5	5551	4345	0	0
LBX2-AS1	0	-7	5551	-754	0	0
GPR155	0	-6	5551	1373	2	2	5900	-6133
TTC14	0	-6	5551	1373	0	0
DTX3L	0	-7	5551	-754	0	0	12000	-24
SGO1	0	-7	5551	-754	0	0	11965	-29
CCDC12	0	-7	5551	-754	0	0
MB21D2	0	-6	5551	1373	0	0	12839	1
PPP4R2	0	-7	5551	-754	0	0
XXYLT1	0	-6	5551	1373	0	0
CMC1	0	-6	5551	1373	0	0
SPICE1	0	-5	5551	4345	0	0
NCBP2AS2	0	-7	5551	-754	0	0
SH3D19	0	-5	5551	4345	0	0
NFXL1	0	-9	5551	-2934	0	0
PAQR3	0	-7	5551	-754	0	0
SCFD2	0	-8	5551	-2059	0	0
JAKMIP1	0	-6	5551	1373	0	0
CREBRF	0	-7	5551	-754	0	0	12126	-25
MBLAC2	0	-6	5551	1373	0	0
SRFBP1	0	-7	5551	-754	0	0
ZMAT2	0	-7	5551	-754	0	0
TTC23L	0	-7	5551	-754	0	0
PPP1R2B	0	-6	5551	1373	0	0
RNF145	0	-6	5551	1373	0	0
SNRNP48	0	-6	5551	1373	0	0
KHDC3L	0	-4	5551	11922	0	0
FMC1	0	-6	5551	1373	0	0
AMOT	0	-14	5551	-4700	4	-3	3707	1309
VKORC1L1	0	-6	5551	1373	0	0
FEZF1-AS1	0	-6	5551	1373	0	0
IQUB	0	-5	5551	4345	0	0
KCTD7	0	-6	5551	1373	2	0	5899	18
ZNF746	0	-5	5551	4345	0	0	12128	-25
RBM33	0	-9	5551	-2934	0	0	11969	-27
PRAG1	0	-7	5551	-754	0	0
